人,dagoro,goroja
车,dawabi,wabija
羊,dapije,pijeja
马,dabarinn,barinnja
广阔,dagumu,gumuja
吃;食物,darepe,sebeja
睡觉,dawomo,womoja
老师,dagakamu,gakamuja
学生,darabimu,sabimuja
学习,darabi,sabija
给,danoro,noroja
书,danapunn,napunnja
房子,damaga,magaja
图书馆,danapunnmaga,napunnmagaja
去,dakara,karaja
追,daribana,sibanaja
鱼,datunaja,tunajaja
猫,damoena,moenaja
狗,dagutapa,gutabaja
一,dakime,kimeja
一个,dagatinn,gatinnja
二,daranu,sanuja
两个,dajiu,jiuja
三,dasiwa,siwaja
四,datunnra,tunnraja
五,daali,alija
十,dabirije,birijeja
蛋,dagokunn,gokunnja
聊天;方言,dademeri,temerija
说,datingi,tingija
可爱,damasene,maseneja
毛,dabagami,bagamija
看见,dakese,kereja
心,datiluru,tiluruja
痛,dasoto,soroja
没有,dadawa,tawaja
加热;火,daingiingi,ingiingija
拥有,dagiri,girija
用,dawumu,wumuja
制作,danopo,noboja
重要,dagaraga,garagaja
温暖,dakile,kileja
听见,dabiri,pirija
快,dataga,tagaja
城市,dariwann,siwannja
体积大,dana,anaja
驱使,damaro,maroja
[方]控制;驱使,dadobingi,dobingija
选择,dacanga,cangaja
狐狸,dadobigo,tobigoja
内部,daegu,eguja
下午,danijemugu,nijemuguja
主人,dadunnmu,tunnmuja
背负,dajene,jeneja
拉,danijete,nijereja
重,dabara,paraja
负重,dajenirugu,jeniruguja
水,daniro,siroja
田野,dagannmu,gannmuja
衣服,dacinnnu,cinnnuja
我（说话人）,dadoro,doroja
（人称）,dai,ija
我（第一人称）的,dadaini,dainija
你（听话人）,damoro,moroja
有,dago,goja
白,dawe,weja
累,dakoko,kokoja
肚子;[方]腰,daretera,deteraja
切,daware,wareja
红,dagiuru,giuruja
街,damuniju,munijuja
腿,damuje,mujeja
中部;[方]肚子,danono,nonoja
骨,dagera,geraja
脑子,dakagu,kaguja
旁边,dagugu,guguja
颜色,dagosi,gosija
黄,darunija,dunijaja
家族,dara,naja
土地,dare,seja
世界,dapolegu,poleguja
朋友,daanuru,anuruja
一起,dagobono,gobonoja
画,dapubo,puboja
再次,damure,mureja
孩子,daragonn,nagonnja
[方]苦,dateta,tetaja
苦,daruma,dumaja
老虎,daanuisi,anuisija
帮助,damara,maraja
代表;标志,dagoriso,gorisoja
生气,darugabu,dugabuja
打,dakapa,kabaja
弯,dabuno,bunoja
河流,dalosoka,losokaja
牛轧糖,danuugata,nuugataja
我的世界,damainnkuraputu,mainnkuraputuja
商弦,dasijanngelene,sijanngeleneja
先拂,dasegonnpourulu,segonnpouruluja
广场,daguti,gutija
（感叹词）,dake,keja
知道,dakeke,kekeja
触碰;认识,dajere,jereja
越过;桥;解决,dabannba,bannbaja
高兴,datonnro,tonnroja
尊敬的（形容词或尊称）,dabenu,benuja
女士（成年女性尊称）,dabenn,bennja
先生（成年男性尊称）,daboro,boroja
人民,daongogoro,ongogoraja
[书]伟大的,daminarumai,minarumaija
年;岁,danape,napeja
永远,dapannla,pannlaja
生,daraga,nagaja
出生,danagaraga,nagaragaja
木,darani,nanija
材料,dagui,guija
桌子,dasira,siraja
石,darunu,dunuja
[方]车,danoka,nokaja
天,danuwasa,nuwasaja
蓝,darage,nageja
天蓝,danuwasaarage,nuwasaarageja
少见,dajeepo,jeepoda
长久,damegu,meguja
寿命,daraaci,saacija
抱怨,dasunnro,sunnroja
长者,dawioga,wiogaja
上,daro,soja
苹果,daelema,elemaja
梨,dakarusuka,akarusukaja
花,darigo,ligoja
雾,dabannde,banndeja
漂流,dabijebo,bijeboja
岸,danirogugu,siroguguja
高,dakagu,kaguja
歌,dakutene,kuteneja
开始,daingi,ingija
草,daira,iraja
黑,daranu,danuja
灰,daganndanu,ganndanuja
写,danapi,napija
新,dawa,waja
小孩,dawura,wuraja
女,dawonnni,wonnnija
男,daraati,raatija
太阳,damiga,migaja
光,daparane,paraneja
平安,daradi,nadija
记忆,dacata,cataja
常见;普通,dasann,sannja
问候,danadiradi,nadiradija
下,damawa,mawaja
东,darogara,sogaraja
西,damawagara,mawagaraja
北,dakilegara,kilegaraja
南,darinagara,dinagaraja
宽,dagoci,gocija
大街,dagocimu,gocimuja
山,damunge,mungeja
轨道,dakaremu,karemuja
火车,dakaremuwabi,karemuwabija
休息,dakurugi,kurugija
车站,dakurugimaga,kurugimagaja
工作,daramo,samoja
做;事,dagu,guja
战斗,dakunatu,kunatuja
战场,dakunature,kunatureja
战士,dakunatumu,kunatumuja
飞,dagogu,goguja
机场,dagogukurugi,gogukurugija
柜子,dapigama,pigamaja
悬挂,dacisi,cisija
寻找,dajawa,jawaja
虫,dabogi,pogija
蝴蝶,dajawabogi,jawabogija
骂,datiigu,tiiguja
害怕,dakiba,kibaja
丢失,dadawarawa,tawarawaja
丢弃,dadiwo,tiwoja
玩;游戏,dabingi,bingija
凉;性感,darina,dinaja
冷,dagisi,gisija
垃圾,daooparo,ooparoja
（感叹）垃圾,daqparo,qparoja
拿,dagingigiri,gingigirija
审判,dalase,laseja
法官,dalasegoro,lasegoroja
请,dacoge,cogeja
钻石,dawagosi,wagosija
（感叹）嘘,dasiju,sijuja
[幼]尿,dasijuriju,sijurijuja
[书]尿,dawuriwu,wuriwuja
燃料,daguruma,gurumaja
颜色,daciboni,cibonija
笑,dabaro,baroja
复杂,daijuru,ijuruja
货轮;坦克,dacepaga,cepagaja
下毒;恶毒,daijogo,ijogoja
礼物,dajoroko,jorokoja
伴奏;主人,dajewugu,jewuguja
悲伤;[方]生气,daere,ereja
可能,danuru,nuruja
悲观,daeranuru,eranuruja
盆,dabigisi,bigisija
风,dajadere,jadereja
灵魂,dasijoma,sijomaja
放电;能量,dakuwa,kuwaja
空气;吹,dacinijara,cinijaraja
省,dakongunu,kongunuja
墓,danadawomo,nadawomoja
双子塔,dagotonndi,gotonndija
内向,dakimanuru,kimanuruja
人格魅力;性格,dakogowu,kogowuja
蓝紫,dabunu,punuja
莓,daedipi,edibija
蓝莓,dabunedipi,punedibija
走,daromo,somoja
跑;脚,dakanese,kaneseja
喊;口号,danomara,nomaraja
躲;庇护所,damooso,moosoja
塑料,damawusi,mawusija
玩具,dabingade,bingadeja
路线,dabono,ponoja
迷路,dabonata,ponataja
陌生,daomega,omegaja
感谢,dasoocoro,soocoroja
对不起,dagunnbu,gunnbuja
长;延伸,damija,mijaja
未知,dakekata,kekataja
想,damuci,mucija
欲,dapori,porija
奇怪,dagekerisi,gekerisija
痒;肿包,daiipenn,iipennja
丑,dagennre,gennreja
脚印;标记,dangaguru,saguruja
肏,daseje,sejeja
交配,dasejanopo,sejanoboja
错,dabanngapa,banngabaja
笔,danunuci,nunucija
限制;边界,daderini,terinija
疯狂,darejoro,dejoroja
影;暗示,dasane,saneja
映,dasanesane,sanesaneja
玉米,darongaranu,songaranuja
常青树,darakapa,sakapaja
钱,dajo,joja
野兽,dajekaji,jekajija
软;无主见,darouta,soutaja
池塘,darigisi,digisija
熟人;远亲,dalinnri,linnrija
好,dadiga,tigaja
名字;名声;著名,dawaga,wagaja
牛,dakoworo,koworoja
群组,dabaraga,paragaja
切割;伤口,dakaga,kagaja
怪物,dasooga,soogaja
耕地,daijare,ijareja
老鼠,dabaapu,baapuja
民族,daradaro,sadaroja
打扰,dadiba,tibaja
等,dabonnni,bonnnija
时间,danini,ninija
时刻,dani,nija
邀请,dawuka,wukaja
欢迎,dawukajake,wukajakeja
出现,daingago,ingagoja
全部,damai,maija
脏,daogo,ogoja
干净,dajunese,juneseja
绿,dacegu,ceguja
出;外,dabonge,bongeja
王,dabuta,butaja
破,dabiceme,picemeja
鸭,damenoro,menoroja
